olympic_id;athlete;Medals;Year;Season
1;"Hermann Weingärtner";6;1896;Summer
1;"Carl Schuhmann";4;1896;Summer
1;"Alfred Flatow";4;1896;Summer
1;"Bob Garrett";4;1896;Summer
1;"Teddy Flack";4;1896;Summer
1;"Adolf Schmal";3;1896;Summer
1;"Holger Nielsen";3;1896;Summer
1;"Viggo Jensen";3;1896;Summer
1;"James B. Connolly";3;1896;Summer
1;"Louis Zutter";3;1896;Summer
2;"Walter Tewksbury";5;1900;Summer
2;"Irv Baxter";5;1900;Summer
2;"Al Kraenzlein";4;1900;Summer
2;"Laurie Doherty";4;1900;Summer
2;"Hubert Van Innis";4;1900;Summer
2;"Stan Rowley";4;1900;Summer
2;"Konrad Stäheli";4;1900;Summer
2;"Achille Paroche";4;1900;Summer
2;"Harold Mahony";4;1900;Summer
2;"Ole Østmo";4;1900;Summer
3;"Albertson Van Zo Post";6;1904;Summer
3;"Anton Heida";6;1904;Summer
3;"George Eyser";6;1904;Summer
3;"Burton Downing";6;1904;Summer
3;"William Merz";5;1904;Summer
3;"Marcus Hurley";5;1904;Summer
3;"Charlie Daniels";5;1904;Summer
3;"Jim Lightbody";4;1904;Summer
3;"Teddy Billington";4;1904;Summer
3;"Frank Gailey";4;1904;Summer
5;"Ben Jones";3;1908;Summer
5;"Gordon Thomson";3;1908;Summer
5;"Ted Ranken";3;1908;Summer
5;"Henry Taylor";3;1908;Summer
5;"Josiah Ritchie";3;1908;Summer
5;"Oscar Swahn";3;1908;Summer
5;"Mel Sheppard";3;1908;Summer
5;"Martin Sheridan";3;1908;Summer
5;"Eric Lemming";2;1908;Summer
5;"Harald Julin";2;1908;Summer
6;"Vilhelm Carlberg";5;1912;Summer
6;"Eric Carlberg";4;1912;Summer
6;"Hübner von Holst";4;1912;Summer
6;"Carl Osburn";4;1912;Summer
6;"Hannes Kolehmainen";4;1912;Summer
6;"Harold Hardwick";3;1912;Summer
6;"Charles Stewart";3;1912;Summer
6;"Jack Hatfield";3;1912;Summer
6;"Charles Dixon";3;1912;Summer
6;"Åke Lundeberg";3;1912;Summer
7;"Lloyd Spooner";7;1920;Summer
