olympic_id,Year,Season,UniqueNOCcount
1,1896,Summer,13
2,1900,Summer,27
3,1904,Summer,10
5,1908,Summer,23
6,1912,Summer,29
7,1920,Summer,29
8,1924,Summer,45
9,1928,Summer,46
10,1932,Summer,47
11,1936,Summer,49
12,1948,Summer,59
13,1952,Summer,69
14,1956,Summer,67
15,1960,Summer,83
16,1964,Summer,93
17,1968,Summer,112
18,1972,Summer,121
19,1976,Summer,92
20,1980,Summer,80
21,1984,Summer,140
22,1988,Summer,159
23,1992,Summer,169
24,1996,Summer,197
25,2000,Summer,200
26,2004,Summer,201
29,1924,Winter,19
30,1928,Winter,25
31,1932,Winter,17
32,1936,Winter,28
33,1948,Winter,28
34,1952,Winter,30
35,1956,Winter,32
36,1960,Winter,30
37,1964,Winter,36
38,1968,Winter,37
39,1972,Winter,35
40,1976,Winter,37
41,1980,Winter,37
42,1984,Winter,49
43,1988,Winter,57
44,1992,Winter,64
45,1994,Winter,67
46,1998,Winter,72
47,2002,Winter,77
49,2006,Winter,78
53,2008,Summer,204
54,2012,Summer,205
57,2010,Winter,82
58,2014,Winter,89
59,2016,Summer,207
60,2018,Winter,93
61,2020,Summer,206
62,2022,Winter,91
