Category,Cups of Rice,Date,Dish
Lunch,2,"May 1, 2026",Pork Sisig
Fruits,0,"May 3, 2026",1 Slice of Watermelon
Coffee,0,"May 3, 2026",Nescafe 2 Sticks and 2 Teaspoons of Sugar
Lunch,1,"May 3, 2026",Ginataang Puso ng Saging
Dinner,2,"May 2, 2026",Kimchi Fried Rice
Lunch,2,"May 2, 2026",Fried Bangus
Dinner,2,"May 1, 2026",Yabu Menchi Set
Shake,0,"May 3, 2026",Buko Pandan Shake
Breakfast,1,"May 4, 2026",Pork Tonkatsu
Breakfast,0,"May 4, 2026","Overnight Meal: Yogurt, Milk, Trail MIxed Nuts, Blueberry, Honey"
Coffee,0,"May 4, 2026","2 Nescafe Sticks and 1 Tablet of Sugar, 3 Coffeemate"
Lunch,1,"May 4, 2026",Togue
Lunch,0,"May 4, 2026",Pesto Pasta
Dinner,2,"May 4, 2026","Enoki Rolls: Sukiyaki, Enoki, 3 Eggs"
Breakfast,0,"May 5, 2026","Overnight Meal: Yogurt, Milk, Trail MIxed Nuts, Blueberry, Honey"
Lunch,1,"May 5, 2026",Chashu
Coffee,0,"May 5, 2026","4 Nescafe Sticks and 2 Tablets of Sugar, 6 Coffeemate"
Dinner,3,"May 5, 2026",2 Pork Katsudon
Drink,0,"May 5, 2026",Gatorade
Lunch,1,"May 6, 2026","Dinakdakan, Puso ng Saging"
Dinner,4,"May 6, 2026","4 Gimbap: Spam, Cucumber, Crab Stick, Seaweed"
Breakfast,1,"May 7, 2026","1 Gimbap: Spam, Cucumber, Crab Stick, Seaweed"
Lunch,2,"May 7, 2026",Chicken Sisig
Merienda,0,"May 6, 2026","Kripy Kreme: 1 Chocolate Donut, 1 Glazy Donut"
Merienda,0,"May 7, 2026",Krispy Kreme: 2 Glazy Donut
Coffee,0,"May 8, 2026","2 Nescafe Sticks and 1 Tablet of Sugar, 3 Coffeemate"
Dinner,1,"May 7, 2026",Miso Soup
Coffee,0,"May 8, 2026",Seasalt Spanish Latte
Lunch,1,"May 8, 2026",Steak Kimchi Fried Rice with Fried Egg
Dinner,2,"May 8, 2026","Pork Adobo, Indian Orange Curry"
Drink,0,"May 8, 2026",Popple
Lunch,1,"May 9, 2026","1pc Chicken, Cajun Fries & Royal"
Dinner,2,"May 9, 2026","Chicken Sisig, Half Fried Egg"
Lunch,2,"May 10, 2026","Liempo, Pansit, 1 pc Chicken Mcdo"
Drink,0,"May 10, 2026",Sting
Drink,0,"May 10, 2026",Royal Mismo
Dinner,1,"May 10, 2026","Buttered Shrimp, Liempo"
Breakfast,0,"May 11, 2026",4 pcs Pandesal and Scrambled Egg
