Expense,Amount,Category,Date,Interest/Debt
Shirt Merch UP,₱525.00,Personal,"August 28, 2021",
Sealing Wax,₱399.00,Personal,"September 2, 2021",
UPBEAT Merch Keychain,₱377.00,Personal,"September 2, 2021",
Retro Wax Seal,₱111.00,Personal,"September 2, 2021",
Toenail Kit,₱380.00,Personal,"September 5, 2021",
Face Lifting,₱169.00,Personal,"September 6, 2021",
Book Shelf,₱456.90,Home,"September 15, 2021",
Multipurpose Cube Storage,"₱1,175.00",Home,"September 15, 2021",
Braces Adjustment,,"Debt, Personal","September 27, 2021",
Papa Short,₱300.00,Home,"November 11, 2021",
Book,₱213.00,Personal,"November 11, 2021",
Shoes Slip On,₱642.51,Personal,"November 11, 2021",
Mainimo Food,₱700.00,Food,"November 15, 2021",
After Braces Food,₱195.00,Food,"November 22, 2021",
Braces,"₱1,100.00",Personal,"November 22, 2021",
Shopee Refund,₱438.00,Personal,"November 27, 2021",
Batangas Lomi,₱279.00,Food,"November 27, 2021",
Dune,₱550.00,Book,"December 3, 2021",
The Testaments,₱580.00,Book,"December 3, 2021",
The Castle,₱500.00,Book,"December 4, 2021",
PLDT Wifi,₱800.00,Home,"December 6, 2021",
Damit H&M,"₱4,402.00",Personal,"December 11, 2021",
Macao Imperial Tea,₱240.00,Food,"December 11, 2021",
Tikas Skincare,"₱1,120.00",Personal,"December 12, 2021",
Book Investment,₱779.00,Book,"December 12, 2021",
Braces,"₱1,100.00",Personal,"December 23, 2021",
Caroling Shit,₱200.00,Personal,"December 24, 2021",
Shipping Fee book,₱220.00,Book,"December 24, 2021",
Food Cucckooo,₱160.00,Food,"December 31, 2021",
Eyeglasses,"₱4,000.00",Personal,"January 6, 2022",
Watson Shopping and Pandayan,₱750.00,Personal,"January 8, 2022",
Mama Utang,"₱1,700.00",Debt,"January 22, 2022",
Mouse Logitech,"₱1,108.00",Personal,"February 23, 2022",
Braces,"₱1,600.00",Personal,"February 23, 2022",
Watson,₱364.00,Personal,"February 23, 2022",
Keyboard,"₱1,260.00",Personal,"February 23, 2022",
UPMMC Renewal,₱100.00,Organization,"April 6, 2022",
UPMC Club Shirt,₱400.00,Organization,"April 6, 2022",
Ingrown Removal,"₱3,500.00",Personal,"April 8, 2022",
Gamot Maintenance,"₱1,000.00",Personal,"April 8, 2022",
Panligo,₱181.00,Personal,"April 26, 2022",
Braces,"₱1,200.00",Personal,"April 26, 2022",
Tintin Gift,₱400.00,Personal,"May 8, 2022",
"Mtea, food, and such",₱500.00,Food,"May 26, 2022",
Braces,"₱1,100.00",Personal,"May 28, 2022",
"Shoes, Samg, Other things","₱5,000.00",Personal,"June 15, 2022",
Braces and Gupit and Some,"₱2,000.00",Personal,"June 25, 2022",
Salamin plus Gastos sa Food,"₱6,000.00",Personal,"July 20, 2022",
UPHS Requirements,"₱1,000.00",Personal,"August 22, 2022",
"Dental, Skincare, Bahay","₱12,000.00","Home, Personal","August 27, 2022",
Food plus panligo,"₱1,000.00",Personal,"September 7, 2022",
Drawer,"₱2,000.00",Home,"September 22, 2022",
Table,"₱2,100.00",Home,"September 22, 2022",
Braces,"₱1,000.00",Personal,"September 22, 2022",
"Pillow, Bookshelf, Towel, Other things","₱2,000.00",Personal,"September 25, 2022",
Pagupit sa aso,₱500.00,Home,"September 26, 2022",
Shopee,"₱1,000.00",Personal,"October 2, 2022",
"Food, Braces, and Other Stuff","₱3,000.00",Personal,"October 22, 2022",
White Board and Foods,"₱2,000.00",Personal,"November 21, 2022",
"Braces, Free Money, and School Things","₱5,000.00",Personal,"November 29, 2022",
Ipad,"₱47,000.00",Personal,"December 24, 2022",
iPad Pro and Other stuff,"₱50,000.00",Personal,"December 24, 2022",
Braces,"₱1,000.00",Personal,"February 4, 2023",
Bathing Stuff,"₱1,000.00",Home,"March 4, 2023",
Braces,"₱1,400.00",Personal,"March 4, 2023",
Braces,"₱1,400.00",Personal,"March 4, 2023",
Debt Jansen and Mama,"₱5,000.00",Debt,"March 11, 2023",
Random Stuff like Foods and Such,"₱1,000.00",Food,"March 15, 2023",
JBL Earphones,"₱3,000.00",Personal,"March 23, 2023",
Braces,"₱1,000.00",Personal,"April 3, 2023",
Kimchi and Online Grabfood,"₱1,000.00",Food,"April 4, 2023",
Portable Fan,₱350.00,Home,"April 9, 2023",
Shoe boxes,₱350.00,Home,"April 9, 2023",
Pants,₱350.00,Personal,"April 9, 2023",
"Mirrors ",₱300.00,Home,"September 8, 2023",
Orders of Mcdo and Jollibee,₱800.00,Food,"September 10, 2023",
Converse Shoes,₱300.00,Personal,"September 12, 2023",
Chair,₱700.00,Home,"September 12, 2023",
Adidas Shoes,"₱3,000.00",Personal,"September 13, 2023",
"Perfume, Food, Tote Bag","₱2,000.00",Personal,"September 22, 2023",
Extra Money,"₱4,000.00",Personal,"October 25, 2023",
Food,"₱1,000.00",Food,"October 27, 2023",
Food,₱600.00,Food,"November 2, 2023",
Bumble,₱300.00,Entertainment,"November 3, 2023",
Foods after Iphone 13,"₱2,000.00",Food,"November 28, 2023",
Iphone 13,"₱30,000.00",Personal,"November 28, 2023",
Iphone Case,₱700.00,Personal,"December 5, 2023",
LCD Huawei,"₱1,200.00",Personal,"December 6, 2023",
Vacuum,"₱2,500.00",Home,"December 16, 2023",
Bumble,₱159.00,Entertainment,"December 17, 2023",
Bath Shelf,₱550.00,Home,"January 12, 2024",
Samgyup,₱600.00,Food,"January 17, 2024",
Kuya’s Debt,"₱5,000.00",Debt,"January 29, 2024",
Adjustment and Cleaning Braces,"₱1,900.00",Personal,"January 31, 2024",
Handheld Fan,₱400.00,Personal,"February 4, 2024",
JoyRide,₱199.00,Transportation,"February 22, 2024",
JoyRide,₱179.00,Transportation,"February 24, 2024",
JoyRide,₱195.00,Transportation,"March 5, 2024",
JoyRide,₱193.00,Transportation,"March 7, 2024",
